ur.013303011367.97 ur.01371526373.26 13 0 1 0
ur.013303011367.97 ur.012404203227.38 13 0 1 0
ur.013303011367.97 ur.016243516656.34 13 0 1 0
ur.013303011367.97 ur.016536612277.07 10 0 1 0
ur.013303011367.97 ur.07624616303.05 7 0 1 0
ur.013303011367.97 ur.0702055316.53 13 0 1 0
ur.015644622435.08 ur.01371526373.26 7 1 1 0
ur.015644622435.08 ur.012404203227.38 7 1 1 0
ur.015644622435.08 ur.016243516656.34 7 1 1 0
ur.015644622435.08 ur.016536612277.07 5 1 1 0
ur.015644622435.08 ur.07624616303.05 7 1 0 0
ur.015644622435.08 ur.0702055316.53 7 1 1 0
ur.01371526373.26 ur.012404203227.38 14 0 1 0
ur.01371526373.26 ur.016243516656.34 14 0 1 0
ur.01371526373.26 ur.016536612277.07 10 0 1 0
ur.01371526373.26 ur.07624616303.05 7 0 1 0
ur.01371526373.26 ur.0702055316.53 14 0 1 0
ur.012404203227.38 ur.016243516656.34 15 0 1 0
ur.012404203227.38 ur.016536612277.07 10 0 1 0
ur.012404203227.38 ur.07624616303.05 7 0 1 0
ur.012404203227.38 ur.0702055316.53 18 0 0 0
ur.016243516656.34 ur.016536612277.07 10 0 1 0
ur.016243516656.34 ur.07624616303.05 7 0 1 0
ur.016243516656.34 ur.0702055316.53 15 0 1 0
ur.016536612277.07 ur.07624616303.05 5 0 1 0
ur.016536612277.07 ur.0702055316.53 10 0 1 0
ur.07624616303.05 ur.0702055316.53 7 0 1 0
ur.016377354073.69 ur.016043063321.61 5 0 1 0
ur.016377354073.69 ur.011304140341.34 12 1 1 0
ur.016377354073.69 ur.011075533420.11 12 0 0 0
ur.016377354073.69 ur.011436675115.23 12 0 1 0
ur.016377354073.69 ur.01313552315.49 12 1 1 1
ur.016377354073.69 ur.015442113712.53 12 1 1 1
ur.016377354073.69 ur.0737677247.43 12 1 1 1
ur.016377354073.69 ur.0753006540.47 12 1 1 0
ur.016377354073.69 ur.01243370615.83 13 1 1 0
ur.016377354073.69 ur.0756014104.26 12 0 1 0
ur.016043063321.61 ur.01243370615.83 5 1 1 0
ur.016043063321.61 ur.0756014104.26 5 0 1 0
ur.011304140341.34 ur.011075533420.11 12 1 1 0
ur.011304140341.34 ur.011436675115.23 11 1 1 0
ur.011304140341.34 ur.01313552315.49 11 1 1 1
ur.011304140341.34 ur.015442113712.53 11 1 1 1
ur.011304140341.34 ur.0737677247.43 11 1 1 1
ur.011304140341.34 ur.0753006540.47 11 0 1 0
ur.011304140341.34 ur.01243370615.83 12 0 1 0
ur.011304140341.34 ur.0756014104.26 11 1 1 0
ur.011075533420.11 ur.011436675115.23 11 0 1 0
ur.011075533420.11 ur.01313552315.49 11 1 1 1
ur.011075533420.11 ur.015442113712.53 11 1 1 1
ur.011075533420.11 ur.0737677247.43 11 1 1 1
ur.011075533420.11 ur.0753006540.47 12 1 1 0
ur.011075533420.11 ur.01243370615.83 13 1 1 0
ur.011075533420.11 ur.0756014104.26 11 0 1 0
ur.011436675115.23 ur.01313552315.49 12 1 0 1
ur.011436675115.23 ur.015442113712.53 12 1 0 1
ur.011436675115.23 ur.0737677247.43 12 1 1 1
ur.011436675115.23 ur.0753006540.47 12 1 1 0
ur.011436675115.23 ur.01243370615.83 12 1 1 0
ur.011436675115.23 ur.0756014104.26 11 0 1 0
ur.01313552315.49 ur.015442113712.53 12 1 0 1
ur.01313552315.49 ur.0737677247.43 12 1 1 1
ur.01313552315.49 ur.0753006540.47 12 1 1 1
ur.01313552315.49 ur.01243370615.83 12 1 1 1
ur.01313552315.49 ur.0756014104.26 11 1 1 1
ur.015442113712.53 ur.0737677247.43 12 1 1 0
ur.015442113712.53 ur.0753006540.47 12 1 1 1
ur.015442113712.53 ur.01243370615.83 12 1 1 1
ur.015442113712.53 ur.0756014104.26 11 1 1 1
ur.0737677247.43 ur.0753006540.47 12 1 1 1
ur.0737677247.43 ur.01243370615.83 12 1 1 1
ur.0737677247.43 ur.0756014104.26 11 1 1 1
ur.0753006540.47 ur.01243370615.83 13 0 1 0
ur.0753006540.47 ur.0756014104.26 11 1 1 0
ur.01243370615.83 ur.0756014104.26 12 1 1 0
ur.011257743315.66 ur.016506505411.45 5 0 0 0
ur.016163553675.77 ur.0714704706.35 5 1 0 0
ur.01322143060.24 ur.01045103044.18 5 1 0 0
ur.014062713321.56 ur.011735453577.50 5 0 0 0
ur.012621207007.72 ur.013155426361.62 5 1 0 0
ur.016310017441.46 ur.010402326641.80 5 0 0 0
ur.01264254734.81 ur.011705640735.96 6 1 1 0
ur.01264254734.81 ur.01131157226.41 6 0 1 0
ur.011705640735.96 ur.01131157226.41 6 1 0 0
ur.013264602124.13 ur.01364774736.90 5 0 1 0
ur.013144746417.28 ur.01067422153.49 5 0 1 0
ur.013144746417.28 ur.01332226553.13 6 0 1 0
ur.0760610156.85 ur.01067422153.49 6 0 1 0
ur.0760610156.85 ur.01332226553.13 6 0 1 0
ur.01067422153.49 ur.01332226553.13 7 0 1 0
ur.01021644616.05 ur.011341514222.36 7 0 1 0
ur.01021644616.05 ur.01115120141.84 5 0 1 0
ur.01021644616.05 ur.015354656554.71 5 0 1 0
ur.01021644616.05 ur.07675207637.48 14 1 1 0
ur.01021644616.05 ur.0665764620.02 9 0 1 0
ur.0776352120.84 ur.015354656554.71 9 0 1 0
ur.0776352120.84 ur.07675207637.48 5 1 1 0
ur.0776352120.84 ur.0665764620.02 8 0 1 0
ur.011341514222.36 ur.01115120141.84 5 0 1 0
ur.011341514222.36 ur.07675207637.48 7 1 1 0
ur.011341514222.36 ur.0665764620.02 7 0 1 0
ur.01115120141.84 ur.07675207637.48 5 1 1 0
ur.01115120141.84 ur.0665764620.02 5 0 1 0
ur.015354656554.71 ur.07675207637.48 8 1 1 0
ur.015354656554.71 ur.0665764620.02 10 0 1 0
ur.07675207637.48 ur.0665764620.02 16 1 1 0
ur.011421571647.21 ur.014727764703.69 5 1 1 1
ur.011421571647.21 ur.011175450061.63 6 0 0 0
ur.011421571647.21 ur.016621203221.69 5 0 1 0
ur.011421571647.21 ur.015274355421.50 6 0 1 0
ur.011421571647.21 ur.0772400475.04 5 1 1 1
ur.011421571647.21 ur.01266770363.21 6 1 1 1
ur.011421571647.21 ur.01270211166.22 5 1 1 1
ur.011421571647.21 ur.0672450313.68 6 1 1 1
ur.011421571647.21 ur.016565017177.44 7 0 1 0
ur.014727764703.69 ur.011175450061.63 5 1 1 1
ur.014727764703.69 ur.016621203221.69 5 1 1 1
ur.014727764703.69 ur.015274355421.50 5 1 1 1
ur.014727764703.69 ur.01172672225.40 5 1 1 1
ur.014727764703.69 ur.0642222407.69 5 1 1 1
ur.014727764703.69 ur.01207126007.09 5 1 1 1
ur.014727764703.69 ur.0772400475.04 7 1 1 0
ur.014727764703.69 ur.01266770363.21 7 1 1 1
ur.014727764703.69 ur.01270211166.22 7 0 1 0
ur.014727764703.69 ur.0672450313.68 7 1 1 0
ur.014727764703.69 ur.016565017177.44 7 1 1 1
ur.011175450061.63 ur.016621203221.69 5 0 1 0
ur.011175450061.63 ur.015274355421.50 5 0 1 0
ur.011175450061.63 ur.0772400475.04 5 1 1 1
ur.011175450061.63 ur.01266770363.21 6 1 1 1
ur.011175450061.63 ur.01270211166.22 5 1 1 1
ur.011175450061.63 ur.0672450313.68 6 1 1 1
ur.011175450061.63 ur.016565017177.44 6 0 1 0
ur.013503664277.16 ur.016565017177.44 5 0 1 0
ur.016621203221.69 ur.015274355421.50 6 0 0 0
ur.016621203221.69 ur.0772400475.04 5 1 1 1
ur.016621203221.69 ur.01266770363.21 5 1 1 1
ur.016621203221.69 ur.01270211166.22 5 1 1 1
ur.016621203221.69 ur.0672450313.68 5 1 1 1
ur.016621203221.69 ur.016565017177.44 6 0 1 0
ur.015274355421.50 ur.0772400475.04 5 1 1 1
ur.015274355421.50 ur.01266770363.21 5 1 1 1
ur.015274355421.50 ur.01270211166.22 5 1 1 1
ur.015274355421.50 ur.0672450313.68 5 1 1 1
ur.015274355421.50 ur.016565017177.44 7 0 1 0
ur.01172672225.40 ur.0642222407.69 5 1 1 0
ur.01172672225.40 ur.01207126007.09 5 1 1 0
ur.01172672225.40 ur.0772400475.04 5 1 1 1
ur.01172672225.40 ur.01266770363.21 10 0 1 0
ur.01172672225.40 ur.01270211166.22 5 1 1 1
ur.01172672225.40 ur.0672450313.68 6 1 1 1
ur.01172672225.40 ur.016565017177.44 6 1 1 1
ur.0642222407.69 ur.01207126007.09 7 1 1 0
ur.0642222407.69 ur.0772400475.04 5 1 1 1
ur.0642222407.69 ur.01266770363.21 5 1 1 0
